data_pregao;sigla_acao;nome_acao;preco_abertura;preco_maximo;preco_minimo;preco_medio;preco_fechamento;qtd_negocios;volume_negocios
2009-01-02;BBAS3;BRASIL ON NM;6.449707;6.772378;6.326971;6.569094;6.580084;2869400;42991378
2009-01-05;BBAS3;BRASIL ON NM;6.5903;6.927809;6.357306;6.648028;6.702912;5339200;80961624
2009-01-06;BBAS3;BRASIL ON NM;6.80119;7.207586;6.578317;6.897987;7.071397;4080100;64215643
2009-01-07;BBAS3;BRASIL ON NM;6.981325;7.083241;6.695322;6.862905;6.913475;1831200;28678803
2009-01-08;BBAS3;BRASIL ON NM;6.823158;6.967778;6.530648;6.718192;6.755553;6465700;99102752
2009-01-09;BBAS3;BRASIL ON NM;7.034047;7.318609;6.712656;7.020774;6.966116;9691700;155177544
2009-01-12;BBAS3;BRASIL ON NM;6.87588;7.149855;6.742991;6.972536;6.909088;4354900;69244040
2009-01-13;BBAS3;BRASIL ON NM;6.809977;6.994423;6.556649;6.757659;6.637111;5232900;80677626
2009-01-14;BBAS3;BRASIL ON NM;6.673778;6.759055;6.088626;6.319135;6.189666;5398100;77802025
2009-01-15;BBAS3;BRASIL ON NM;6.234424;6.670237;6.001956;6.288438;6.580084;4127900;59228919
2009-01-16;BBAS3;BRASIL ON NM;6.708926;6.870078;6.2403;6.472618;6.316881;4429900;65367877
2009-01-19;BBAS3;BRASIL ON NM;6.454101;6.53701;6.222966;6.336676;6.334427;2770100;40052257
2009-01-20;BBAS3;BRASIL ON NM;6.326688;6.523687;5.819947;6.117414;5.900142;4680700;65254949
2009-01-21;BBAS3;BRASIL ON NM;6.036715;6.199501;5.763611;5.968315;6.031744;5100100;69488358
2009-01-22;BBAS3;BRASIL ON NM;6.150947;6.217265;5.707275;5.933233;5.944009;4485700;60730151
2009-01-23;BBAS3;BRASIL ON NM;5.839006;6.09292;5.624937;5.854299;5.834341;5048000;67426720
2009-01-26;BBAS3;BRASIL ON NM;5.93127;6.29276;5.828614;6.108643;6.189666;6175500;86087604
2009-01-27;BBAS3;BRASIL ON NM;6.150947;6.43931;6.027957;6.297209;6.294947;4164300;59838318
2009-01-28;BBAS3;BRASIL ON NM;6.50243;6.625828;6.331305;6.468233;6.452869;5446800;80379519
2009-01-29;BBAS3;BRASIL ON NM;6.322295;6.457074;6.110294;6.266512;6.207213;2608300;37260912
2009-01-30;BBAS3;BRASIL ON NM;6.203669;6.372696;6.088626;6.227045;6.229146;2523800;35851049
2009-02-02;BBAS3;BRASIL ON NM;6.107012;6.261674;5.954287;6.095487;6.03613;2733000;37994527
2009-02-03;BBAS3;BRASIL ON NM;6.107012;6.381578;5.984621;6.183192;6.220373;2827500;39897234
2009-02-04;BBAS3;BRASIL ON NM;6.260785;6.461515;6.023623;6.2402;6.123865;4734100;67356685
2009-02-05;BBAS3;BRASIL ON NM;6.133373;6.425987;6.027957;6.235815;6.316881;3308800;47067643
2009-02-06;BBAS3;BRASIL ON NM;6.375017;6.510364;6.188298;6.376143;6.395842;5666700;82422720
2009-02-09;BBAS3;BRASIL ON NM;6.309114;6.514805;6.175297;6.341061;6.273013;3706100;53608187
2009-02-10;BBAS3;BRASIL ON NM;6.335475;6.519246;6.066959;6.284053;6.202826;4481200;64253471
2009-02-11;BBAS3;BRASIL ON NM;6.273966;6.430428;6.101627;6.266512;6.286174;2497700;35715893
2009-02-12;BBAS3;BRASIL ON NM;6.172915;6.350492;6.001956;6.13934;6.119478;3965200;55547056
2009-02-13;BBAS3;BRASIL ON NM;6.304721;6.394901;6.144962;6.262127;6.242306;3514700;50205724
2009-02-16;BBAS3;BRASIL ON NM;6.194882;6.332728;6.084293;6.191963;6.202826;2396500;33849714
2009-02-17;BBAS3;BRASIL ON NM;6.085044;6.203942;5.915285;6.034094;5.987876;4014100;55248670
2009-02-18;BBAS3;BRASIL ON NM;6.001567;6.141769;5.832947;5.946389;5.926462;3764100;51068603
2009-02-19;BBAS3;BRASIL ON NM;6.243211;6.314965;5.962954;6.117414;6.053677;4978800;69462021
2009-02-20;BBAS3;BRASIL ON NM;5.953678;6.217461;5.814555;5.980741;6.118791;3262300;43552904
2009-02-25;BBAS3;BRASIL ON NM;6.092866;6.371762;5.903192;6.16904;6.235425;2940800;40468735
2009-02-26;BBAS3;BRASIL ON NM;6.335324;6.51245;6.169101;6.334923;6.28477;3682200;52062824
2009-02-27;BBAS3;BRASIL ON NM;6.155726;6.32638;6.036146;6.19594;6.212996;2159500;29847229
2009-03-02;BBAS3;BRASIL ON NM;6.070416;6.24469;5.765805;6.012124;5.876552;3610000;48412579
2009-03-03;BBAS3;BRASIL ON NM;5.953678;6.149386;5.761373;5.935908;5.957298;2950600;39080838
2009-03-04;BBAS3;BRASIL ON NM;6.151236;6.32638;5.991828;6.151107;6.212996;2495500;34250820
2009-03-05;BBAS3;BRASIL ON NM;6.065926;6.199307;5.858873;5.998674;5.970756;3515600;47041082
2009-03-06;BBAS3;BRASIL ON NM;5.994087;6.24469;5.858873;6.047991;6.08739;2961000;39959066
2009-03-09;BBAS3;BRASIL ON NM;5.971637;6.303688;5.872169;6.10179;6.033559;1373000;18689386
2009-03-10;BBAS3;BRASIL ON NM;6.124296;6.371762;6.031714;6.23629;6.293742;2501600;34815724
2009-03-11;BBAS3;BRASIL ON NM;6.353283;6.489758;6.186828;6.361822;6.338601;4340300;61627400
2009-03-12;BBAS3;BRASIL ON NM;6.312874;6.603215;6.208987;6.433555;6.414862;3087700;44324025
2009-03-13;BBAS3;BRASIL ON NM;6.519412;6.680366;6.341942;6.514255;6.544954;2750200;39978564
2009-03-16;BBAS3;BRASIL ON NM;6.600231;6.730288;6.346374;6.572538;6.52701;3572000;52368417
2009-03-17;BBAS3;BRASIL ON NM;6.487982;6.798362;6.381829;6.635305;6.719904;4306500;63765811
2009-03-18;BBAS3;BRASIL ON NM;6.64064;7.097889;6.55467;6.83257;6.957658;4511500;68824532
2009-03-19;BBAS3;BRASIL ON NM;7.071676;7.311189;6.94467;7.119503;7.08775;6179800;98130850
2009-03-20;BBAS3;BRASIL ON NM;7.053716;7.2295;6.802852;7.025353;6.953172;3429600;53744371
2009-03-23;BBAS3;BRASIL ON NM;7.192905;7.533565;7.01558;7.276419;7.446623;5162500;83827081
2009-03-24;BBAS3;BRASIL ON NM;7.381021;7.498896;7.102699;7.292013;7.244613;2700600;43467717
2009-03-25;BBAS3;BRASIL ON NM;7.222143;7.613558;7.116142;7.337333;7.25368;3170600;51336446
2009-03-26;BBAS3;BRASIL ON NM;7.353785;7.668596;7.18336;7.414378;7.493958;2769100;45311496
2009-03-27;BBAS3;BRASIL ON NM;7.358324;7.797018;7.259541;7.62285;7.707035;3256300;54793016
2009-03-30;BBAS3;BRASIL ON NM;7.489966;7.72822;7.349165;7.568466;7.571028;3835100;64074650
2009-03-31;BBAS3;BRASIL ON NM;7.67608;7.966717;7.523931;7.745215;7.648099;4251500;72674384
2009-04-01;BBAS3;BRASIL ON NM;7.580753;8.163936;7.483601;7.917431;8.051584;3606700;63047439
2009-04-02;BBAS3;BRASIL ON NM;8.170872;8.613411;8.066156;8.375165;8.264661;5229300;96669772
2009-04-03;BBAS3;BRASIL ON NM;8.279817;8.760179;8.169224;8.524722;8.65908;5686700;107032608
2009-04-06;BBAS3;BRASIL ON NM;8.624809;8.874841;8.249885;8.570042;8.613745;6041600;114256056
2009-04-07;BBAS3;BRASIL ON NM;8.497707;8.847322;8.272291;8.570042;8.563876;7115000;134569146
2009-04-08;BBAS3;BRASIL ON NM;8.307053;8.56296;7.703179;8.062456;7.865709;22459800;399642992
2009-04-09;BBAS3;BRASIL ON NM;8.057388;8.141004;7.393977;7.663639;7.643565;20356700;344366953
2009-04-13;BBAS3;BRASIL ON NM;7.662462;7.833709;7.402939;7.663639;7.657166;7913800;133892612
2009-04-14;BBAS3;BRASIL ON NM;7.712395;8.021755;7.586668;7.831323;7.765971;10446300;180538187
2009-04-15;BBAS3;BRASIL ON NM;7.807722;8.026342;7.671811;7.876643;7.933712;6016100;104610392
2009-04-16;BBAS3;BRASIL ON NM;8.066466;8.416192;7.886908;8.144032;8.319064;5997200;107843390
2009-04-17;BBAS3;BRASIL ON NM;8.32975;8.498749;8.178186;8.343441;8.346265;4665800;85910607
2009-04-20;BBAS3;BRASIL ON NM;8.125478;8.416192;7.981014;8.18482;8.16039;3178400;57414147
